Name,Value.lat,Value.lon,Value.address
"Hainaut, Hainaut, Belgium, Netherlands",50.36192,4.125217,"Hainaut, Wallonie, België / Belgique / Belgien"
"Hamden Delaw, New York",42.1911969,-74.9946083,"Town of Hamden, Delaware County, New York, United States"
"Hartford, Hartford County, Connecticut, New England",43.6349274,-72.3308184,"Connecticut River Road, Hartford, Windsor County, Vermont, 05009, United States"
"Hartford, Hartford County, Connecticut, United States",43.6349274,-72.3308184,"Connecticut River Road, Hartford, Windsor County, Vermont, 05009, United States"
"Hartford, Hartford, Connecticut, British Colonial America",41.764582,-72.6908547,"Hartford, Capitol Planning Region, Connecticut, United States"
"Hartford, Hartford, Connecticut, Colonial America",41.764582,-72.6908547,"Hartford, Capitol Planning Region, Connecticut, United States"
"Hatherup, Glouchester, England",51.7339143,-1.7564947,"Hatherop, Cotswold, Gloucestershire, England, United Kingdom"
"Hatherup,,Gloucestershire,England",51.7339143,-1.7564947,"Hatherop, Cotswold, Gloucestershire, England, United Kingdom"
"Haupersweiler,  jetzt Kreis St Wendel, Saarland, Deutschland",49.5121435,7.2663683,"Haupersweiler, Freisen, Landkreis St. Wendel, Saarland, Deutschland"
"Haupersweiler, Departement de la Sarre (bis  1814), jetzt Kreis St. Wendel, Saarland, Deutschland",49.5121435,7.2663683,"Haupersweiler, Freisen, Landkreis St. Wendel, Saarland, Deutschland"
"Haupersweiler, St Wendel, Rheinland, Preussen",49.5121435,7.2663683,"Haupersweiler, Freisen, Landkreis St. Wendel, Saarland, Deutschland"
"Haverhill, Massachusetts Bay Colony, British Colonial Americ, Essex, England, United Kingdom",42.7777829,-71.0767724,"Haverhill, Essex County, Massachusetts, United States"
"Heathfield, Wealden District, East Sussex, England",50.9717443,0.2517025,"Heathfield, Wealden, East Sussex, England, TN21 8PJ, United Kingdom"
"Heemstede, Heemstede Municipality, Noord-Holland, Netherlands",52.3622395,4.6250735,"Heemstede Noord, Zuiderhoutlaan, Haarlem, Noord-Holland, Nederland, 2101 KK, Nederland"
"Dige, Orne, Basse-Normandie, France",49.4452254,1.0913423,"Banque de France, 32, Rue Jean Lecanuet, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"Hempstead, Long Island City, Queens, New York",40.6736812,-73.6190736,"Town of Hempstead, Nassau County, New York, United States"
"Hempstead, Long Island, NY, USA",40.6736812,-73.6190736,"Town of Hempstead, Nassau County, New York, United States"
"Hempstead,Long Island,New York,USA",40.6736812,-73.6190736,"Town of Hempstead, Nassau County, New York, United States"
"Eu, Seine-Maritime, Haute-Normandie, France",49.4452254,1.0913423,"Banque de France, 32, Rue Jean Lecanuet, Vieux-Marché-Cathédrale, Quartier Vieux-Marché Cathédrale, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76000, France"
"Husbandsbosworth, Leicestershire, England",52.4496866,-1.0604836,"Husbands Bosworth, Harborough, Leicestershire, England, United Kingdom"
